YEAR,MONTH,DAY,COUNTRY,SESSION_ID,PAGE1,PAGE2,COLOUR,LOCATION,MODEL_PHOTOGRAPHY,PRICE,PRICE2,PAGE,converted,revenue
2008,7,2,India,4382,blouses,P202,olive,5,en face,93.12,1,4,0,0.0
2008,8,20,India,5197,skirts,P180,green,3,en face,82.27,1,5,1,226.18
2008,5,9,India,1113,sale,P070,red,6,en face,130.16,2,1,0,0.0
2008,6,11,Germany,2689,trousers,P190,violet,2,en face,118.81,2,3,0,0.0
2008,6,7,Australia,6473,blouses,P130,red,5,profile,54.8,1,5,0,0.0
2008,8,22,UK,8820,skirts,P190,pink,6,profile,180.61,2,1,0,0.0
2008,7,19,Italy,7808,trousers,P248,navy blue,2,profile,33.06,1,5,0,0.0
2008,7,9,Australia,3411,skirts,P279,navy blue,6,profile,163.56,2,2,0,0.0
2008,8,4,India,81,skirts,P047,black,1,en face,65.36,1,1,1,78.85
2008,7,24,Italy,4614,skirts,P181,violet,4,en face,83.56,1,5,0,0.0
2008,6,19,France,1374,skirts,P137,red,3,en face,175.84,2,4,0,0.0
2008,5,6,France,1510,skirts,P042,white,6,en face,51.02,1,2,0,0.0
2008,4,4,Germany,6443,sale,P002,black,3,en face,48.46,1,1,0,0.0
2008,5,24,Italy,3071,skirts,P207,gray,3,profile,89.81,1,1,0,0.0
2008,6,23,Germany,3016,skirts,P174,blue,1,profile,170.14,2,5,0,0.0
2008,5,28,USA,4823,sale,P017,white,5,profile,75.42,1,1,0,0.0
2008,5,18,India,7822,blouses,P030,navy blue,1,en face,11.2,1,3,0,0.0
2008,6,10,India,93,trousers,P265,black,1,en face,11.33,1,5,0,0.0
2008,8,16,USA,9421,skirts,P099,blue,4,en face,58.68,1,1,0,0.0
2008,7,2,Sweden,6600,sale,P123,black,1,profile,163.98,2,4,0,0.0
2008,4,28,Germany,4443,skirts,P170,green,2,en face,139.1,2,1,0,0.0
2008,8,26,India,7602,blouses,P196,pink,5,en face,181.75,2,4,0,0.0
2008,8,24,Germany,3835,sale,P022,black,3,en face,148.98,2,3,0,0.0
2008,8,9,USA,9702,blouses,P274,pink,4,en face,64.36,1,4,0,0.0
2008,8,15,UK,4322,skirts,P132,olive,4,en face,75.57,1,2,0,0.0
2008,8,14,India,3394,skirts,P262,olive,4,en face,79.32,1,2,0,0.0
2008,5,10,USA,4752,blouses,P077,black,3,profile,156.35,2,1,0,0.0
2008,5,22,Germany,7229,skirts,P197,navy blue,4,profile,156.81,2,3,0,0.0
2008,4,23,UK,9191,skirts,P244,red,2,en face,97.82,1,2,0,0.0
2008,5,24,UK,2361,trousers,P048,green,5,profile,122.87,2,2,0,0.0
2008,7,28,USA,1148,blouses,P040,black,3,profile,78.36,1,3,0,0.0
2008,4,10,USA,5666,trousers,P074,burgundy,2,en face,25.66,1,2,0,0.0
2008,8,15,Sweden,8075,trousers,P219,burgundy,5,profile,14.92,1,5,0,0.0
2008,4,19,France,4943,blouses,P213,blue,3,en face,42.4,1,1,0,0.0
2008,7,11,UK,3663,trousers,P106,pink,3,profile,131.58,2,3,0,0.0
2008,8,27,Australia,1563,sale,P089,green,3,en face,187.49,2,3,0,0.0
2008,4,13,Italy,4113,blouses,P255,blue,5,profile,12.22,1,5,0,0.0
2008,5,20,France,9050,trousers,P252,pink,1,profile,138.21,2,4,0,0.0
2008,6,6,India,9276,sale,P136,blue,6,profile,112.32,2,4,0,0.0
2008,8,13,Italy,8538,skirts,P044,navy blue,1,profile,196.77,2,1,0,0.0
2008,7,19,USA,795,blouses,P048,white,5,en face,144.88,2,5,0,0.0
2008,7,18,Sweden,5854,skirts,P287,white,1,profile,14.78,1,2,0,0.0
2008,5,27,USA,7619,sale,P250,brown,6,en face,192.63,2,2,0,0.0
2008,7,13,USA,1594,blouses,P107,brown,3,profile,21.89,1,3,0,0.0
2008,8,5,USA,7418,skirts,P071,pink,5,en face,187.16,2,5,0,0.0
2008,8,18,India,5267,skirts,P004,green,6,en face,160.94,2,5,0,0.0
2008,4,27,Germany,7147,blouses,P296,blue,6,profile,179.18,2,5,0,0.0
2008,7,8,Sweden,89,blouses,P046,olive,6,profile,160.86,2,1,0,0.0
2008,7,5,Australia,8695,trousers,P048,green,2,en face,25.51,1,1,0,0.0
2008,7,19,India,9732,skirts,P072,brown,1,en face,176.41,2,1,0,0.0
2008,5,2,USA,9446,blouses,P045,navy blue,4,en face,113.51,2,2,0,0.0
2008,5,24,France,6754,trousers,P058,olive,6,en face,69.75,1,4,0,0.0
2008,6,26,Sweden,3502,sale,P032,pink,5,en face,196.48,2,4,0,0.0
2008,5,3,UK,2234,blouses,P290,pink,3,profile,19.21,1,3,0,0.0
2008,7,12,France,2803,sale,P177,black,5,en face,53.64,1,2,1,156.42
2008,7,15,Australia,4424,sale,P098,red,1,en face,119.07,2,2,0,0.0
2008,8,10,Sweden,5663,sale,P083,black,4,en face,33.49,1,3,0,0.0
2008,4,25,Sweden,7170,sale,P299,black,5,en face,150.72,2,2,0,0.0
2008,5,12,Italy,8337,sale,P103,brown,4,profile,176.14,2,1,0,0.0
2008,8,27,France,2148,trousers,P032,red,6,en face,111.76,2,4,0,0.0
2008,6,22,Germany,7969,sale,P084,burgundy,5,profile,188.43,2,1,0,0.0
2008,5,26,Germany,6551,blouses,P159,gray,1,profile,73.82,1,4,0,0.0
2008,7,5,USA,7643,blouses,P281,navy blue,3,profile,116.85,2,3,0,0.0
2008,6,23,Australia,6164,blouses,P243,pink,6,en face,111.2,2,5,0,0.0
2008,7,3,Italy,1495,skirts,P126,black,3,en face,41.45,1,1,0,0.0
2008,6,9,USA,7696,skirts,P277,violet,1,profile,175.69,2,3,0,0.0
2008,4,1,Italy,7094,sale,P119,blue,3,en face,106.67,2,2,1,230.65
2008,6,15,Italy,1409,trousers,P161,white,4,profile,173.08,2,3,0,0.0
2008,8,27,France,6691,sale,P062,beige,5,en face,179.08,2,4,0,0.0
2008,5,20,India,3401,skirts,P259,blue,2,en face,75.02,1,1,0,0.0
2008,6,8,Italy,109,trousers,P135,olive,1,profile,136.15,2,4,0,0.0
2008,4,13,Australia,5636,sale,P094,gray,5,en face,69.08,1,5,0,0.0
2008,4,13,Italy,8482,trousers,P078,white,5,profile,161.76,2,2,0,0.0
2008,4,4,USA,6604,blouses,P114,white,5,en face,58.41,1,3,0,0.0
2008,8,13,Australia,1091,blouses,P196,green,4,en face,177.95,2,5,0,0.0
2008,5,12,USA,5560,skirts,P011,white,3,profile,41.74,1,1,0,0.0
2008,4,19,Sweden,9412,blouses,P012,beige,2,profile,10.2,1,5,1,26.97
2008,5,14,Sweden,8143,blouses,P128,pink,2,en face,121.92,2,4,0,0.0
2008,5,12,USA,8664,sale,P041,red,1,en face,137.22,2,1,0,0.0
2008,5,13,France,6596,skirts,P142,red,3,profile,66.51,1,1,0,0.0
2008,7,8,USA,624,blouses,P149,navy blue,5,en face,56.44,1,2,0,0.0
2008,6,12,France,6871,trousers,P247,navy blue,5,profile,175.75,2,3,0,0.0
2008,8,17,UK,4814,blouses,P239,gray,5,en face,189.32,2,4,0,0.0
2008,4,5,France,6553,trousers,P218,brown,2,profile,155.69,2,5,0,0.0
2008,8,1,USA,7530,sale,P108,black,2,en face,137.36,2,5,0,0.0
2008,6,17,USA,5796,trousers,P164,pink,4,en face,144.19,2,4,0,0.0
2008,6,13,UK,7437,blouses,P030,pink,5,profile,77.38,1,3,0,0.0
2008,7,8,USA,4218,trousers,P047,green,3,profile,101.54,1,3,0,0.0
2008,5,18,Sweden,5941,skirts,P234,olive,1,en face,41.0,1,5,0,0.0
2008,7,4,France,8501,sale,P001,pink,2,en face,11.17,1,4,0,0.0
2008,5,23,Italy,6429,sale,P026,navy blue,2,en face,19.28,1,3,0,0.0
2008,8,19,UK,6827,sale,P269,burgundy,6,profile,64.82,1,4,0,0.0
2008,8,6,India,4131,skirts,P064,olive,4,profile,148.12,2,1,0,0.0
2008,5,19,Australia,7802,trousers,P256,red,1,en face,116.17,2,1,0,0.0
